
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x04","0x06","0x09","0x0A","0x11","0x14","0x20","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x5A","0x60","0x61","0x62","0x63","0x64","0x66","0x67","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0x87","0x9C","0x9F","0xC0","0xC1","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","4","6","9","10","17","20","32","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH10","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","APPCALL","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","EQUAL","NUMEQUAL","LT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.01","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"C:\dev\neo\nep5-stealer\NEP5_Stealer\NEP5StealerICO.cs","134","            Runtime.Notify(''Take'', assetId, userAddress);","22","1","2","1","0","3","1","4","1","11","33","7","6","6","4","3","1","1","1","26","6","1","7","2","0","9","56","52","1","59","23","1","3","4","1","2","1","29","31","8"
"C:\dev\neo\nep5-stealer\NEP5_Stealer\NEP5StealerICO.cs","133","            Runtime.Notify(''Take'', assetId);","4","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","2","2","0","6","0","0","0","0","0","0","0","2","4","2"
"C:\dev\neo\nep5-stealer\NEP5_Stealer\NEP5StealerICO.cs","135","            Runtime.Notify(''Take'', assetId, userAddress, transferTo);","4","0","2","0","0","0","0","0","0","4","4","2","2","0","0","0","0","0","0","4","0","0","0","0","0","2","6","6","0","14","0","0","0","0","0","0","0","6","8","2"
"C:\dev\neo\nep5-stealer\NEP5_Stealer\NEP5StealerICO.cs","136","            var contract = (NEP5Contract)assetId.ToDelegate();","2","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","4","2","0","0","0","0","0","0","2","2","0"
"C:\dev\neo\nep5-stealer\NEP5_Stealer\NEP5StealerICO.cs","137","            var args = new object[] { userAddress };","2","0","0","0","0","0","0","0","0","4","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","6","2","0","0","0","0","0","0","2","4","2"
"C:\dev\neo\nep5-stealer\NEP5_Stealer\NEP5StealerICO.cs","138","            var usersBalance = (BigInteger)contract(''balanceOf'', args);","18","1","0","1","1","3","1","4","1","7","32","6","7","6","4","3","1","1","1","23","6","1","7","2","1","7","54","50","1","51","24","2","3","4","1","2","1","27","25","6"
"","","Tally by Opcode>","52","2","6","2","1","6","2","8","2","28","75","17","17","12","8","6","2","2","2","57","12","2","14","4","1","20","126","118","2","140","51","3","6","8","2","4","2","68","74","20"
"","","Total Tally>","984"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x04","0x06","0x09","0x0A","0x11","0x14","0x20","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x5A","0x60","0x61","0x62","0x63","0x64","0x66","0x67","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0x87","0x9C","0x9F","0xC0","0xC1","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","4","6","9","10","17","20","32","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH10","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","APPCALL","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","EQUAL","NUMEQUAL","LT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.01","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
